event_id,frame_id,player_id,team,marginal_pc,importance_score
19,1084,Away_20,Away,0.007309,0.0084
20,1084,Away_20,Away,0.007309,0.0084
18,1084,Away_21,Away,0.078678,0.0908
19,1084,Away_21,Away,0.078678,0.0908
20,1084,Away_21,Away,0.078678,0.0908
18,1084,Away_23,Away,0.100094,0.1156
19,1084,Away_23,Away,0.100094,0.1156
20,1084,Away_23,Away,0.100094,0.1156
18,1084,Home_4,Home,0.006179,0.0071
19,1084,Home_4,Home,0.006179,0.0071
20,1084,Home_4,Home,0.006179,0.0071
18,1084,Home_5,Home,0.244529,0.2823
19,1084,Home_5,Home,0.244529,0.2823
20,1084,Home_5,Home,0.244529,0.2823
18,1084,Home_6,Home,0.126079,0.1456
19,1084,Home_6,Home,0.126079,0.1456
20,1084,Home_6,Home,0.126079,0.1456
18,1084,Home_7,Home,0.010024,0.0116
19,1084,Home_7,Home,0.010024,0.0116
20,1084,Home_7,Home,0.010024,0.0116
22,1121,Away_19,Away,0.009719,0.0112
22,1121,Away_23,Away,0.045995,0.0531
22,1121,Away_24,Away,0.231078,0.2668
22,1121,Home_2,Home,0.258131,0.298
22,1121,Home_4,Home,0.014034,0.0162
22,1121,Home_6,Home,0.065657,0.0758
22,1121,Home_7,Home,0.024717,0.0285
22,1121,Home_8,Home,0.00303,0.0035
22,1121,Home_9,Home,0.055876,0.0645
23,1155,Away_23,Away,0.064372,0.0743
23,1155,Away_24,Away,0.153393,0.1771
23,1155,Home_1,Home,0.111209,0.1284
23,1155,Home_10,Home,2.3e-05,0.0
23,1155,Home_2,Home,0.143204,0.1653
23,1155,Home_5,Home,0.015857,0.0183
23,1155,Home_6,Home,0.046699,0.0539
23,1155,Home_7,Home,0.002434,0.0028
23,1155,Home_8,Home,0.008053,0.0093
23,1155,Home_9,Home,0.016229,0.0187
24,1170,Away_23,Away,0.062494,0.0721
24,1170,Away_24,Away,0.136367,0.1574
24,1170,Home_1,Home,0.100845,0.1164
24,1170,Home_10,Home,2.1e-05,0.0
24,1170,Home_2,Home,0.089246,0.103
24,1170,Home_3,Home,0.035258,0.0407
24,1170,Home_5,Home,0.013701,0.0158
24,1170,Home_6,Home,0.041654,0.0481
24,1170,Home_7,Home,0.002888,0.0033
24,1170,Home_8,Home,0.005259,0.0061
24,1170,Home_9,Home,0.009841,0.0114
25,1289,Away_18,Away,0.014111,0.0163
25,1289,Away_19,Away,0.034288,0.0396
25,1289,Away_21,Away,0.178023,0.2055
25,1289,Away_23,Away,0.039777,0.0459
25,1289,Away_24,Away,0.009296,0.0107
25,1289,Home_1,Home,0.001243,0.0014
25,1289,Home_10,Home,0.110734,0.1278
25,1289,Home_2,Home,0.0067,0.0077
25,1289,Home_3,Home,0.018803,0.0217
25,1289,Home_4,Home,0.012451,0.0144
25,1289,Home_5,Home,0.007658,0.0088
25,1289,Home_6,Home,0.020008,0.0231
25,1289,Home_7,Home,0.08933,0.1031
25,1289,Home_8,Home,0.069671,0.0804
25,1289,Home_9,Home,0.080877,0.0934
26,1392,Away_15,Away,0.20609,0.2379
26,1392,Away_17,Away,0.058718,0.0678
26,1392,Away_18,Away,0.004498,0.0052
26,1392,Away_19,Away,0.010707,0.0124
26,1392,Away_20,Away,0.049923,0.0576
26,1392,Away_21,Away,0.024915,0.0288
26,1392,Home_10,Home,0.364321,0.4206
26,1392,Home_7,Home,0.003527,0.0041
26,1392,Home_8,Home,0.022138,0.0256
26,1392,Home_9,Home,0.026946,0.0311
27,1431,Away_15,Away,0.12845,0.1483
27,1431,Away_16,Away,0.24696,0.2851
27,1431,Away_17,Away,0.03083,0.0356
27,1431,Away_18,Away,0.001091,0.0013
27,1431,Away_19,Away,1e-05,0.0
27,1431,Away_20,Away,0.030585,0.0353
27,1431,Away_21,Away,0.002931,0.0034
27,1431,Home_10,Home,0.191442,0.221
27,1431,Home_9,Home,0.02605,0.0301
30,1576,Away_15,Away,0.04318,0.0499
30,1576,Away_16,Away,0.000763,0.0009
30,1576,Away_17,Away,0.000184,0.0002
30,1576,Away_18,Away,0.000418,0.0005
30,1576,Away_19,Away,0.038588,0.0446
30,1576,Away_20,Away,0.00359,0.0041
30,1576,Away_21,Away,0.023457,0.0271
30,1576,Home_6,Home,0.012296,0.0142
30,1576,Home_8,Home,0.048116,0.0556
33,1610,Away_16,Away,0.046529,0.0537
34,1610,Away_16,Away,0.046529,0.0537
33,1610,Away_17,Away,0.014647,0.0169
34,1610,Away_17,Away,0.014647,0.0169
33,1610,Away_18,Away,0.002641,0.003
34,1610,Away_18,Away,0.002641,0.003
33,1610,Away_19,Away,0.1068,0.1233
34,1610,Away_19,Away,0.1068,0.1233
33,1610,Away_20,Away,0.015865,0.0183
34,1610,Away_20,Away,0.015865,0.0183
33,1610,Away_21,Away,0.166936,0.1927
34,1610,Away_21,Away,0.166936,0.1927
33,1610,Away_23,Away,0.010714,0.0124
34,1610,Away_23,Away,0.010714,0.0124
33,1610,Home_10,Home,0.23425,0.2704
34,1610,Home_10,Home,0.23425,0.2704
33,1610,Home_3,Home,0.002283,0.0026
34,1610,Home_3,Home,0.002283,0.0026
33,1610,Home_4,Home,0.0018,0.0021
34,1610,Home_4,Home,0.0018,0.0021
33,1610,Home_6,Home,0.007913,0.0091
34,1610,Home_6,Home,0.007913,0.0091
33,1610,Home_7,Home,0.005375,0.0062
34,1610,Home_7,Home,0.005375,0.0062
33,1610,Home_8,Home,0.092251,0.1065
34,1610,Home_8,Home,0.092251,0.1065
33,1610,Home_9,Home,0.007284,0.0084
34,1610,Home_9,Home,0.007284,0.0084
38,1721,Away_15,Away,0.224955,0.2597
39,1721,Away_15,Away,0.224955,0.2597
38,1721,Away_16,Away,0.187161,0.2161
39,1721,Away_16,Away,0.187161,0.2161
38,1721,Away_20,Away,0.022968,0.0265
39,1721,Away_20,Away,0.022968,0.0265
38,1721,Home_10,Home,0.161626,0.1866
39,1721,Home_10,Home,0.161626,0.1866
38,1721,Home_6,Home,0.004173,0.0048
39,1721,Home_6,Home,0.004173,0.0048
38,1721,Home_7,Home,0.029241,0.0338
39,1721,Home_7,Home,0.029241,0.0338
38,1721,Home_9,Home,0.024495,0.0283
39,1721,Home_9,Home,0.024495,0.0283
40,1780,Away_15,Away,0.019692,0.0227
40,1780,Away_16,Away,0.293967,0.3394
40,1780,Away_19,Away,0.011663,0.0135
40,1780,Away_20,Away,0.04854,0.056
40,1780,Away_21,Away,0.051056,0.0589
40,1780,Away_24,Away,0.008898,0.0103
40,1780,Home_10,Home,0.140804,0.1626
40,1780,Home_2,Home,0.003336,0.0039
40,1780,Home_4,Home,0.002277,0.0026
40,1780,Home_5,Home,0.01675,0.0193
40,1780,Home_6,Home,0.011216,0.0129
40,1780,Home_7,Home,0.028677,0.0331
40,1780,Home_8,Home,0.017867,0.0206
40,1780,Home_9,Home,0.045883,0.053
41,1843,Away_15,Away,0.022986,0.0265
41,1843,Away_19,Away,0.000923,0.0011
41,1843,Away_20,Away,0.282654,0.3263
41,1843,Away_21,Away,0.040276,0.0465
41,1843,Away_23,Away,0.004677,0.0054
41,1843,Away_24,Away,0.003877,0.0045
41,1843,Home_10,Home,0.500068,0.5773
41,1843,Home_2,Home,0.001386,0.0016
41,1843,Home_3,Home,0.001453,0.0017
41,1843,Home_5,Home,0.02884,0.0333
41,1843,Home_6,Home,0.014556,0.0168
41,1843,Home_7,Home,0.009994,0.0115
41,1843,Home_8,Home,0.007534,0.0087
44,1915,Away_15,Away,0.008283,0.0096
44,1915,Away_17,Away,0.194203,0.2242
44,1915,Away_20,Away,0.113587,0.1311
44,1915,Away_21,Away,0.012286,0.0142
44,1915,Away_24,Away,0.00222,0.0026
44,1915,Home_10,Home,0.119868,0.1384
44,1915,Home_2,Home,0.000573,0.0007
